Decade,Song,Film,Year,MusicDirector,Lyricist,Singer1,Singer2,Singer3
1960s,morii chham\-chham baaje paayaliyaa -  View,Ghunghat (1960),1960,Ravi,Shakeel,Lata,,
1950s,kaalii\-kaalii ratiyaa.N yaad sataaye -  View,Ghungroo (1952),1952,C Ramachandra,Rajinder Krishan,Lata,,
1940s,tumhii.n kaho meraa man kyuu.N rahe udaas nahii.n -  View,Girls School (1949),1949,Anil Biswas,Pradeep,Lata,,
1990s,maaTii re maaTii re -  View,God Mother (1998),1998,Vishal,Javed Akhtar,Lata,,
1960s,jaane kaahe jiyaa moraa Dole re -  View,Godaan (1963),1963,Ravi Shankar,Anjaan,Lata, Chorus,
1960s,chalii aaj gorii piyaa kii nagariyaa -  View,Godaan (1963),1963,Ravi Shankar,Anjaan,Lata,,
1970s,ik baat kahuu.N gar maano tum -  View,Golmaal (1979),1979,R D Burman,Gulzar,Lata,,
1970s,jiine kaa din mar jaane kaa mausam -  View,Gomti Ke Kinare (1972),1972,R D Burman,Majrooh,Lata, Kishore,
1950s,jiivan me.n piyaa teraa saath rahe -  View,Goonj Uthi Shehnaai (1959),1959,Vasant Desai,Bharat Vyas,Lata, Rafi,
1950s,"tere sur aur mere giit, dono mil kar banegii priit -  View",Goonj Uthi Shehnaai (1959),1959,Vasant Desai,Bharat Vyas,Lata,,
1950s,terii shahanaa_ii bole sun ke dil meraa Dole -  View,Goonj Uthi Shehnaai (1959),1959,Vasant Desai,Bharat Vyas,Lata, Rafi,
1950s,TuuT gayaa ... dil kaa khilaunaa haay TuuT gayaa -  View,Goonj Uthi Shehnaai (1959),1959,Vasant Desai,Bharat Vyas,Lata,,
1970s,akele hii akele chalaa hai kahaa.N -  View,Gopi (1970),1970,Kalyanji-Anandji,Rajinder Krishan,Lata,,
1950s,dil ko laakh sambhaalaa jii phir bhii dil -  View,Guest House (1959),1959,Chitragupt,Prem Dhawan,Lata,,
1950s,teraa jaaduu na chalegaa o sapere -  View,Guest House (1959),1959,Chitragupt,Prem Dhawan,Lata,,
1950s,Tha.nDii Tha.nDii chale re havaa o sajanaa -  View,Guest House (1959),1959,Chitragupt,Prem Dhawan,Lata,,
1960s,kaa.NTo.n se khii.nch ke ye aa.Nchal -  View,Guide (1965),1965,S D Burman,Shailendra,Lata,,
1960s,mose chhal kiye jaaye ... sai.nyaa.N be_imaan -  View,Guide (1965),1965,S D Burman,Shailendra,Lata,,
1960s,"piyaa tose nainaa laage re, nainaa laage re, jaane k... -  View",Guide (1965),1965,S D Burman,Shailendra,Lata,,
1950s,kahii.n aise bhii aa.Nsuu hai.n jo aa.Nkho.n me.n na... -  View,Gul Sanobar (1953),1953,Khayyam,Kaif Irfani,Lata,,
1960s,gumanaam hai ko_ii badanaam hai ko_ii -  View,Gumnaam (1965),1965,Shankar-Jaikishan,Hasrat,Lata,,
1960s,is duniyaa me.n jiinaa ho to sun lo merii baat -  View,Gumnaam (1965),1965,Shankar-Jaikishan,Hasrat,Lata,,
1960s,merii taqadiir kahaa.N par ... raam kare kahii.n nai... -  View,Gunahon Ka Devta (1967),1967,Shankar-Jaikishan,Hasrat,Lata,,
1960s,ho re ho jhanan ghuu.Nghar baaje moraa man jhuume pi... -  View,Gunga Jumna (1961),1961,Naushad,Shakeel,Lata,,
1960s,naa maanuu.N re ... dagaabaaj torii batiyaa.N -  View,Gunga Jumna (1961),1961,Naushad,Shakeel,Lata,,
1960s,Dhuu.NDho Dhuu.NDho re saajanaa Dhuu.NDho re saajanaa -  View,Gunga Jumna (1961),1961,Naushad,Shakeel,Lata,,
1950s,o sunataa jaa dil kaa naGmaa pyaar kii dhun par -  View,Halaaku (1956),1956,Shankar-Jaikishan,Hasrat,Lata,,
1950s,ajii chale aa_o tumhe.n aa.Nkho.n ne dil me.n bulaay... -  View,Halaaku (1956),1956,Shankar-Jaikishan,Hasrat,Lata, Asha,
1950s,use mil ga_ii na_ii zindagii jise dard\-e\-dil ne mi... -  View,Halaaku (1956),1956,Shankar-Jaikishan,Hasrat,Lata,,
1950s,ye chaa.Nd ye sitaare ye saath teraa\-meraa -  View,Halaaku (1956),1956,Shankar-Jaikishan,Shailendra,Lata,,
1950s,bol mere maalik teraa kyaa yahii hai i.nsaaf -  View,Halaaku (1956),1956,Shankar-Jaikishan,Hasrat,Lata,,
1960s,vo ik nigaah kyaa milii -  View,Half Ticket (1962),1962,Salil Chowdhury,Shailendra,Lata, Kishore,
1950s,zi.ndagii usii kii hai jo zi.ndagii se khele -  View,Hamaari Duniyaa (1952),1952,Shyam Babu Pathak,Indeevar,Lata,,
1960s,jawaa.N muhabbat hasiin aa.Nkho.n me.n -  View,Hamari Yaad Aayegi (1961),1961,Snehal Bhatkar,Kidar Sharma,Lata, Mukesh,
1950s,R^itu aa_e R^itu jaa_e sakhii rii -  View,Hamdard (1953),1953,Anil Biswas,Prem Dhawan,Lata, Manna Dey,
1950s,tere sab Gam mile mujhako tujhe Khushiyaa.N zamaane ... -  View,Hamdard (1953),1953,Anil Biswas,Prem Dhawan,Lata,,
1950s,udhar terii nazar badalii idhar badalaa jahaa.N meraa -  View,Hamdard (1953),1953,Anil Biswas,Prem Dhawan,Lata,,
1960s,man re tuu hii bataa kyaa gaa_uu.N -  View,Hamrahi (1963),1963,Shankar-Jaikishan,Shailendra,Lata,,
1960s,vo dekho jalaa ghar kisii kaa -  View,Hamrahi (1963),1963,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1950s,ko_ii duur bajaaye baa.Nsurii -  View,Hamsafar (1953),1953,Ustad Ali Akbar Khan,Sahir,Lata,,
1950s,tere dar se Kushii maa.ngii ... are ye kyaa kiyaa tu... -  View,Hangaamaa (1952),1952,C Ramachandra,Rajinder Krishan,Lata,,
1950s,ai dard\-e\-mohabbat aa tujhako siine se lagaa ke -  View,Hangaamaa (1952),1952,C Ramachandra,Rajinder Krishan,Lata,,
1950s,ba.De tiir maare ... bholaa shikaarii nishaanaa na j... -  View,Hangaamaa (1952),1952,C Ramachandra,Rajinder Krishan,Lata,,
1950s,dard ke maare hue -  View,Hangama (1952),1952,C Ramachandra,Rajinder Krishan,Lata,,
1970s,"aaj sochaa to aa.Nsuu bhar aaye, mud_date.n ho ga_ii... -  View",Hanste Zakhm (1973),1973,Madan Mohan,Kaifi Azmi,Lata,,
1970s,betaab dil kii tamannaa yahii hai -  View,Hanste Zakhm (1973),1973,Madan Mohan,Kaifi Azmi,Lata,,
1960s,"khelo naa mere dil se, o mere saajanaa -  View",Haqeeqat (1964),1964,Madan Mohan,Kaifi Azmi,Lata,,
1960s,aaii ab kii saal divaalii mu.Nh par apane khuun male -  View,Haqeeqat (1964),1964,Madan Mohan,Kaifi Azmi,Lata,,
1960s,zaraa sii aahaT hotii hai to dil sochataa hai -  View,Haqeeqat (1964),1964,Madan Mohan,Kaifi Azmi,Lata,,
1960s,meghavaa gagan biich jhaa.Nke -  View,Harishchandra Taramati (1963),1963,Laxmikant Pyarelal,Bharat Vyas,Lata,,
1960s,ye hariyaalii aur ye raastaa -  View,Hariyali Aur Rasta (1962),1962,Shankar-Jaikishan,Hasrat,Lata,,
1960s,bol merii taqadiir me.n kyaa hai mere hamasafar ab t... -  View,Hariyali Aur Rasta (1962),1962,Shankar-Jaikishan,Shailendra,Lata, Mukesh,
1980s,tere liye palako.n kii jhaalar banuu.N -  View,Harjaee (1981),1981,R D Burman,,Lata,,
1950s,aa mere raa.Njhanaa -  View,Heer (1956),1956,Anil Biswas,Majrooh,Lata,,
1970s,merii duniyaa me.n tum aayii.n -  View,Heer Ranjha (1970),1970,Madan Mohan,Kaifi Azmi,Lata, Rafi," Rajkumar, Priya Ra"
1970s,milo na tum to ham ghabaraaye -  View,Heer Ranjha (1970),1970,Madan Mohan,Kaifi Azmi,Lata,,
1970s,do dil TuuTe do dil haare -  View,Heer Ranjha (1970),1970,Madan Mohan,Kaifi Azmi,Lata,,
1970s,Dolii cha.Dhate hii hiir ne bain kiye -  View,Heer Ranjha (1970),1970,Madan Mohan,Kaifi Azmi,Lata, Chorus,
1970s,bahut duur mujhe chale jaanaa hai -  View,Heera Panna (1973),1973,R D Burman,Anand Bakshi,Lata, Kishore,
1950s,naach re dharatii ke pyaare -  View,Heeraa Moti (1959),1959,Salil Chowdhury,Shailendra,Lata, Hemant, Chorus
1990s,chiTThiye dard firaaq vaaliye -  View,Henna (1991),1991,Ravindra Jain,Naqsh Lyallpuri,Lata,,
1980s,nindiyaa se jaagii bahaar -  View,Hero (1983),1983,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1980s,pyaar karane vaale kabhii darate nahii.n -  View,Hero (1983),1983,Laxmikant-Pyarelal,Anand Bakshi,Lata, Manhar,
1950s,muhabbat me.n ta.Dapane se -  View,Hill Station (1957),1957,Hemant Kumar,S. H. Bihari,Lata,,
1950s,na_ii ma.nzil na_ii raahe.n nayaa hai maharbaan apanaa -  View,Hill Station (1957),1957,Hemant Kumar,S H Bihari,Lata, Hemant,
1960s,"ek tuu jo milaa, saarii duniyaa miilii, khilaa jo me... -  View",Himalay Ki God Mein (1965),1965,Kalyanji-Anandji,Indeevar,Lata,,
1960s,uu.Nche himaalay ke niiche -  View,Himalay Ki God Mein (1965),1965,Kalyanji-Anandji,Anand Bakshi,Lata,,
1970s,hai tere saath merii vafaa mai.n nahii.n to kyaa -  View,Hindustaan Ki Qasam (1973),1973,Madan Mohan,Kaifi Azmi,Lata,,
1970s,merii tamannaa_o.n kii taqadiir tum sa.Nvaar do -  View,Holi Ayee Re (1970),1970,Kalyanji-Anandji,Indeevar,Lata,,
1960s,aahaa re magan meraa cha.nchal man -  View,Honeymoon (1960),1960,Salil Chowdhury,Shailendra,Lata,,
1950s,taraa raa raa ram mere dil me.n sanam -  View,Hoor-e-Arab (1955),1955,Ghulam Mohammad,Shakeel,Lata,,
1950s,chaa.Nd ne pahanaa taaj sitaaro jhuum\-jhuum kar naa... -  View,Hoor-e-Arab (1955),1955,Ghulam Mohammad,Shakeel,Lata, Chorus,
1950s,phailii huii hai.n sapano.n kii baa.Nhe.n -  View,House No. 44 (1955),1955,S D Burman,Sahir,Lata,,
1950s,piichhe piichhe aa kar chhuu lo hame.n paa kar -  View,House No. 44 (1955),1955,S D Burman,Sahir,Lata, Hemant,
1950s,ek jhuuThii sii tasallii vo mujhe de ke chale -  View,Hulchul (1951),1951,Mohammed Shafi,Khumar Barabankvi,Lata,,
1950s,haay sadaqe tere o baa.Nke mere -  View,Hulchul (1951),1951,Mohammed Shafi,Khumar Barabankvi,Lata,,
1950s,aaj mere nasiib ne mujhako rulaa rulaa diyaa -  View,Hulchul (1951),1951,Sajjad Hussain,Khumar Barabankvi,Lata,,
1950s,bahaar aa_ii magar dil me.n ... luTaa dil meraa haay... -  View,Hulchul (1951),1951,Sajjad Hussain,Khumar Barabankwi,Lata,,
1990s,"##Chocolate, Lime Juice, Ice Cream## -  View",Hum Aapke Hain Kaun (1994),1994,Ram Laxman,Dev Kohli,Lata,,
1990s,"ham aap ke, aap ke hai.n kaun -  View",Hum Aapke Hain Kaun (1994),1994,Ram Laxman,Dev Kohli,Lata, S P Balasubramaniam,
1990s,juute de do paise lelo -  View,Hum Aapke Hain Kaun (1994),1994,Ram Laxman,Ravinder Rawal,Lata, S P Balasubramaniam,
1990s,lo chalii mai.n apane devar kii baaraat le ke -  View,Hum Aapke Hain Kaun (1994),1994,Ram Laxman,Ravinder Rawal,Lata,,
1990s,maaii ne maaii mu.NDer pe tere bol rahaa hai kaagaa -  View,Hum Aapke Hain Kaun (1994),1994,Ram Laxman,Dev Kohli,Lata,,
1990s,aaj hamaare dil me.n ajab ye ulajhan hai -  View,Hum Aapke Hain Kaun (1994),1994,Ram Laxman,Ravinder Rawal,Lata, Kumar Sanu,
1990s,"mujh se judaa ho kar, tujhe duur jaanaa hai -  View",Hum Aapke Hain Kaun (1994),1994,Ram Laxman,Dev Kohli,Lata, S P Balasubramaniam,
1990s,vaah vaah raam jii -  View,Hum Aapke Hain Kaun (1994),1994,Ram Laxman,Ravinder Rawal,Lata, S P Balasubramaniam,
1990s,ye mausam kaa jaaduu hai mitavaa -  View,Hum Aapke Hain Kaun (1994),1994,Ram Laxman,Ravinder Rawal,Lata, S P Balasubramaniam,
1990s,diidii teraa devar divaanaa haay raam ku.Diyo.n ko D... -  View,Hum Aapke Hain Kaun (1994),1994,Ram Laxman,Dev Kohli,Lata, S P Balasubramaniam,
1960s,prabhu tero naam jo dhyaaye phal paaye -  View,Hum Dono (1961),1961,Jaidev,Sahir,Lata,,
1960s,"allaah tero naam, iish_var tero naam -  View",Hum Dono (1961),1961,Jaidev,Sahir,Lata, Chorus,
1960s,maajhii merii qismat ke jii chaahe jahaa.N le chal -  View,Hum Hindustani (1960),1960,Usha Khanna,Rajinder Krishan,Lata,,
1950s,bahe a.Nkhiyo.n se dhaar jiyaa meraa beqaraar ... di... -  View,Hum Log (1951),1951,Roshan,Uddhav Kumar,Lata,,
1950s,bahut buraa hai haal tere majabuur kaa -  View,Hum Log (1951),1951,Roshan,Udhav Kumar,Lata,,
1950s,chalii jaa chalii jaa chalii jaa chho.D ke duniyaa G... -  View,Hum Log (1951),1951,Roshan,Uddhav Kumar,Lata,,
1950s,chhan chhan baaje paayal morii -  View,Hum Log (1951),1951,Roshan,Udhav Kumar,Lata,,
1980s,kaa jaanuu.N mai.n sajaniyaa chamakegii kab cha.ndan... -  View,Hum Paanch (1980),1980,Laxmikant-Pyarelal,Anand Bakshi,Lata, Amit Kumar,
1960s,"ajanabii, tum jaane pahachaane se lagate ho -  View",Hum Sab Ustad Hain (1965),1965,Laxmikant-Pyarelal,Asad Bhopali,Kishore ,Lata,
1990s,ham aap me.n kuchh ho gayaa ... ham tumape marate ha... -  View,Hum Tum Pe Marte Hain (1999),1999,Uttam Singh,Anand Bakshi,Lata, Udit Narayan, Chorus
1950s,jaao chamakaa subah kaa sitaaraa -  View,Hyderabad Ki Naazneen (1952),1952,Vasant Desai,Noor Lucknowi,Lata,,
1950s,kyaa kyaa na log chal base -  View,Hyderabad Ki Naazneen (1952),1952,Vasant Desai,Noor Lucknowi,Lata,,
1970s,roz shaam aatii thii magar aisii na thii -  View,Imtihaan (1974),1974,Laxmikant-Pyarelal,Majrooh,Lata,,
1990s,pa.nchhii mere man kaa aaj u.Daa jaa_e -  View,Intehaa Pyaar Ki (1992),1992,Anand-Milind,Sameer,Lata,,
1960s,"aa jaan\-e\-jaa.n, aa mere husn javaa.n -  View",Inteqam (1969),1969,Laxmikant-Pyarelal,Rajinder Krishan,Lata, Usha,
1960s,kaise rahuu.N chup ki maine pii hii kyaa hai -  View,Inteqam (1969),1969,Laxmikant-Pyarelal,Rajinder Krishan,Lata,,
1970s,tum saamane baiThe raho palake.n merii tham jaa_e.n -  View,Iqraar (1979),1979,Bappi Lahiri,Kulwant Jani,Lata,,
1960s,dil beqaraar saa hai -  View,Ishaara (1964),1964,Kalyanji-Anandji,Majrooh,Lata,,
1970s,tum mujh se duur chale jaanaa naa -  View,Ishq Par Zor Nahin (1970),1970,S D Burman,Anand Bakshi,Lata,,
1970s,ye dil divaanaa hai dil to divaanaa hai -  View,Ishq Par Zor Nahin (1970),1970,S D Burman,Anand Bakshi,Lata, Rafi,
1960s,"ye dil tum bin kahii.n lagataa nahii.n, ham kyaa kar... -  View",Izzat (1968),1968,Laxmikant-Pyarelal,Sahir,Lata, Rafi,
1950s,gin-gin taare mai.n haar ga_ii raat ko -  View,Jaadoo (1951),1951,Naushad,Shakeel,Lata,,
1950s,lo pyaar kii ho gayii jiit -  View,Jaadoo (1951),1951,Naushad,Shakeel,Lata,,
1950s,naadaan muhabbat vaalo.n ke aramaan badalate rahate ... -  View,Jaadoo (1951),1951,Naushad,Shakeel,Lata,,
1950s,ulajh gayaa jiyaa meraa naino.n ke jaal me.n -  View,Jaadoo (1951),1951,Naushad,Shakeel,Lata,,
1950s,jab ujiyaaraa chhaaye ... jaago mohan pyaare -  View,Jaagte Raho (1956),1956,Salil Chowdhury,Shailendra,Lata,,
1950s,chorii chorii merii galii aanaa hai buraa -  View,Jaal (1952),1952,S D Burman,Sahir,Lata, Chorus,
1950s,ha.Ns le gaa le ... kaisii ye jaagii agan ... duur k... -  View,Jaal (1952),1952,S D Burman,Sahir,Lata,,
1950s,pighalaa hai sonaa duur gagan par -  View,Jaal (1952),1952,S D Burman,Sahir,Lata,,
1950s,ye raat ye chaa.Ndanii phir kahaa.N sun jaa dil kii ... -  View,Jaal (1952),1952,S D Burman,Sahir,Lata, Hemant,
1960s,merii zi.ndagi ke chiraaG ko terii beruKii ne bujhaa... -  View,Jaal (1967),1967,Laxmikant-Pyarelal,Raja Mehdi Ali Khan,Lata,,
1960s,rokanaa hai agar rok liije magar chaa.Nd chhupane se... -  View,Jaal (1967),1967,Laxmikant-Pyarelal,Raja Mehdi Ali Khan,Lata,,
1960s,dha.Dakaa hai dil me.n pyaar tumhaaraa -  View,Jaal (1967),1967,Laxmikant-Pyarelal,Raja Mehdi Ali Khan,Lata,,
1970s,aa_egii aa_egii aa_egii kisii ko hamaarii yaad aa_egii -  View,Jaan-e-Man (1976),1976,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1960s,"ye samaa, samaa hai ye pyaar kaa -  View",Jab Jab Phool Khile (1965),1965,Kalyanji-Anandji,Anand Bakshi,Lata,,
1990s,ek thaa dil paas mere kar diyaa vo naam tere -  View,Jab Pyaar Kisi Se Hotaa Hai (1998),1998,Jatin-Lalit,Anand Bakshi,Lata, Kumar Sanu,
1990s,is dil me.n kyaa hai dha.Dakan -  View,Jab Pyaar Kisi Se Hotaa Hai (1998),1998,Jatin-Lalit,Anand Bakshi,Lata, Kumar Sanu,
1990s,pahalii pahalii baar jab pyaar kisii se hotaa hai -  View,Jab Pyaar Kisi Se Hotaa Hai (1998),1998,Jatin-Lalit,Anand Bakshi,Lata, Kumar Sanu,
1990s,dil me.n basaa ke palako.n me.n biThaa ke -  View,Jab Pyaar Kisi Se Hotaa Hai (1998),1998,Jatin-Lalit,Anand Bakshi,Lata,,
1960s,jiyaa o jiyaa o jiyaa kuchha bol do -  View,Jab Pyar Kisi Se Hota Hai (1961),1961,Shankar-Jaikishan,Hasrat,Lata,,
1960s,nazar mere dil ke paar hu_ii -  View,Jab Pyar Kisi Se Hota Hai (1961),1961,Shankar-Jaikishan,Shailendra,Lata,,
1960s,tum jaise biga.De baabuu se mai.n a.Nkhiyaa.N bachaa... -  View,Jab Pyar Kisi Se Hota Hai (1961),1961,Shankar-Jaikishan,Hasrat,Lata,,
1960s,haal\-e\-dil yuu.N unhe.n sunaayaa gayaa -  View,Jahanara (1964),1964,Madan Mohan,Rajinder Krishan,Lata,,
1960s,jab\-jab tumhe.n bhulaayaa tum aur yaad aa_e -  View,Jahanara (1964),1964,Madan Mohan,Rajinder Krishan,Lata, Asha,
1960s,vo chup rahe.n to mere dil ke daaG jalate hai.n -  View,Jahanara (1964),1964,Madan Mohan,Rajinder Krishan,Lata,,
1960s,ai sanam aaj ye qasam khaa_e.N -  View,Jahanara (1964),1964,Madan Mohan,Rajinder Krishan,Lata, Talat,
1960s,o pavan veg se u.Dane vaale gho.De tujh pe savaar ha... -  View,Jai Chittod (1961),1961,S N Tripathi,Bharat Vyas,Lata,,
1960s,prabhu tumhii.n prakash do -  View,Jai Chittod (1961),1961,S N Tripathi,Bharat Vyas,Lata,,
1950s,"ham pyaar me.n jalanevaalo.n ko chain kahaa.N, haay,... -  View",Jailor (1958),1958,Madan Mohan,Rajinder Krishan,Lata,,
1950s,buu.Ndaniyaa.N barasana laagii re -  View,Jailor (1958),1958,Madan Mohan,Rajinder Krishan,Lata,,
1970s,kajaraa lagaake re bi.ndiyaa sajaake -  View,Jal Bin Machhali Nritya Bin Bijalee (1971),1971,Laxmikant-Pyarelal,Majrooh,Lata,,
1950s,kaarii kaarii a.Ndhiyaarii raat me.n -  View,Jalpari (1952),1952,Pt Gobind Ram,Bharat Vyas,Lata,,
1950s,ruuTh ke tum to chal di_e -  View,Jalti Nishaani (1957),1957,Anil Biswas,Qamar Jalalabadi,Lata,,
1950s,zaraa saamane to aao chhaliye -  View,Janam Janam ke Phere (1957),1957,S N Tripathi,Bharat Vyas,Lata, Rafi,
1960s,jaagiye gopaal laal ba.Nsii ban bole -  View,Jawaahar (1960),1960,Salil Chowdhury,Prem Dhawan,Lata,,
1970s,o shaam aa_ii ra.ngo.n me.n -  View,Jeena Yahan (1979),1979,Salil Chowdhury,Yogesh,Lata,,
1960s,aap mujhe achchhe lagane lage sapane sachche -  View,Jeene Ki Raah (1969),1969,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1940s,"ha.Ns le gaa le, o chaa.Nd mere -  View",Jeet (1949),1949,Anil Biswas,Prem Dhawan,Lata,,
1940s,mast pavan hai cha.nchal dhaara -  View,Jeet (1949),1949,Anil Biswas,Prem Dhawan,Lata,,
1950s,chhaa_ii kaarii badariyaa bairaniyaa ho raam -  View,Jeevan Jyoti (1953),1953,S D Burman,Sahir,Lata,,
1970s,zamaane me.n ajii aise ka_ii naadaan hote hai.n -  View,Jeewan Mrityu (1970),1970,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1960s,ho.nTho.n me.n aisii baat mai.n dabaake chalii aaii -  View,Jewel Thief (1967),1967,S D Burman,Majrooh,Lata, Bhupinder,
1960s,"rulaa ke gayaa sapanaa meraa, baiThii huu.N kab ho s... -  View",Jewel Thief (1967),1967,S D Burman,Shailendra,Lata,,
1950s,"jaa re jaa, jaa ni.ndiyaa jaa, jaa ni.ndiyaa jaa -  View",Jhaanjhar (1953),1953,C Ramachandra,Rajinder Krishan,Lata, Madhubala Jhaveri,
1950s,"jii chaahataa hai ab to, duniyaa se ruuTh jaaye.n -  View",Jhaanjhar (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1950s,mohe laage saara jag phiika phiika -  View,Jhaanjhar (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1950s,"raat barasaat kii, pahalii mulaaqaat kii -  View",Jhaanjhar (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1950s,tum bin merii kaun khabar le -  View,Jhaanjhar (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1950s,ai pyaar terii duniyaa se ham -  View,Jhaanjhar (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1950s,chhe.D gayo mohe sapane me.n shyaam -  View,Jhaanjhar (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1950s,gurur bramh ... rut basant aa_ii ... ab to saajan gh... -  View,Jhanak Jhanak Paayal Baaje (1955),1955,Vasant Desai,Hasrat,Lata, Manna Dey,
1950s,kaisii ye mohabbat kii sazaa -  View,Jhanak Jhanak Paayal Baaje (1955),1955,Vasant Desai,Diwan Sharar,Lata,,
1950s,kR^iShNaa jo tum to.Do piyaa mai.n naahii.n to.Duu.N... -  View,Jhanak Jhanak Paayal Baaje (1955),1955,Vasant Desai,Meerabai,Lata,,
1950s,"mere ai dil bataa, pyaar tuune kiyaa -  View",Jhanak Jhanak Paayal Baaje (1955),1955,Vasant Desai,Hasrat,Lata, Manna Dey,
1950s,muralii manohar kR^iShN kanhaiyaa ... hame.n gop gu_... -  View,Jhanak Jhanak Paayal Baaje (1955),1955,Vasant Desai,Diwan Sharar,Lata, Manna Dey,
1950s,saiyaa.N jaa_o jaa_o mose na bolo ab naa mohe sataa_o -  View,Jhanak Jhanak Paayal Baaje (1955),1955,Vasant Desai,Bharat Vyas,Lata,,
1950s,"suno, suno, suno jii more rasiyaa -  View",Jhanak Jhanak Paayal Baaje (1955),1955,Vasant Desai,Hasrat,Lata,,
1970s,"chal chale.n ai dil chale.n chal, jhiil ke us paar -  View",Jheel Ke Us Paar (1973),1973,R D Burman,Anand Bakshi,Lata,,
1960s,aa.Nkho.n se kaajal kii lekar siyaahii ... mere paha... -  View,Jhoola (1962),1962,Salil Chowdhury,Rajinder Krishan,Lata,,
1960s,"duur bahut aabaadii se, ishq kii ra.ngii.n vaadii se -  View",Jhoola (1962),1962,Salil Chowdhury,Rajinder Krishan,Lata, Mukesh,
1960s,"aag paanii me.n lagii, hoy hoy kaise -  View",Jhoola (1962),1962,Salil Chowdhury,Rajinder Krishan,Lata, Rafi, Chorus
1960s,"sajanaa meraa dil, teraa dil, gayaa mil -  View",Jhoola (1962),1962,Salil Chowdhury,Rajinder Krishan,Lata,,
1960s,unase bichha.D ke jab ham roye to aise roye -  View,Jhoola (1962),1962,Salil Chowdhury,Rajinder Krishan,Lata,,
1980s,kaisii lag rahii huu.N mai.n -  View,Jhoothaa Sach (1984),1984,R D Burman,Majrooh,Lata, Kishore,
1960s,phuul hai bahaaro.n kaa baaG hai nazaaro.n kaa -  View,Jigri Dost (1969),1969,Laxmikant-Pyarelal,Anand Bakshi,Lata, Rafi,
1960s,"o basa.ntii pavan paagal, naa jaa re naa jaa, roko k... -  View",Jis Desh Mein Ganga Behti Hai (1960),1960,Shankar-Jaikishan,Shailendra,Lata,,
1960s,ho maine pyaar kiyaa oy hoy kyaa jurm kiyaa -  View,Jis Desh Mein Gangaa Behti Hai (1960),1960,Shankar-Jaikishan,Hasrat,Lata,,
1980s,kabhii\-kabhii bezubaan parvat bolate hai.n -  View,Johny I Love You (1982),1982,Rajesh Roshan,Anand Bakshi,Lata,,
1970s,o baabula pyaare o roe paayala kii chhama chhama -  View,Johny Mera Naam (1970),1970,Kalyanji-Anandji,Indeevar,Lata,,
1970s,govind bolo hari gopaal bolo ... o rii o mose moraa ... -  View,Johny Mera Naam (1970),1970,Kalyanji-Anandji,Indeevar,Lata,,
1950s,3230.isb jogii re tuu sach batalaa mujhe jogii -  View,Joru Ka Bhaai (1955),1955,Jaidev,Vishwamitra Adil,Lata,,
1950s,tuu sach batalaa mujhe jogii -  View,Joru Ka Bhaai (1955),1955,Jaidev,Vishwamitra Adil,Lata,,
2000s,vo aa_e ghar hamaare ... churaa ke dil ban rahe hai.... -  View,Joru Kaa Ghulaam (2000),2000,R D Burman,Majrooh,Lata,,
1970s,jo baat ishaaro.n me.n kahii tum nahii.n samajhe -  View,Joshila (1973),1973,R D Burman,Sahir,Lata,,
1970s,jaane kyaa pilaayaa tuune -  View,Jugnu (1973),1973,S D Burman,Anand Bakshi,Lata,,
1970s,ye raate.n na_ii puraanii aate aate\-jaate -  View,Julie (1975),1975,Rajesh Roshan,Anand Bakshi,Lata,,
1970s,bhuul gayaa sab kuchh yaad nahii.n ab kuchh -  View,Julie (1975),1975,Rajesh Roshan,Anand Bakshi,Lata, Kishore,
1960s,"ehasaan teraa hogaa mujhapar, dil chaahataa hai vo k... -  View",Junglee (1961),1961,Shankar-Jaikishan,Hasrat,Rafi  ,Lata,
1960s,"jaa jaa jaa mere bachapan, kahii.n jaa ke chhup naad... -  View",Junglee (1961),1961,Shankar-Jaikishan,Shailendra,Lata,,
1970s,saavan ke jhuule pa.De tum chale aao -  View,Jurmana (1979),1979,R D Burman,Anand Bakshi,Lata,,
1970s,chhoTii sii ek kalii khilii thii -  View,Jurmana (1979),1979,R D Burman,Anand Bakshi,Lata,,
1970s,e sakhii raadhike baa.Nvarii ho ga_ii -  View,Jurmana (1979),1979,R D Burman,Anand Bakshi,Lata, Manna Dey,
1980s,is nazaaqat ko ... tho.Daa resham lagataa hai -  View,Jyoti (1981),1981,Bappi Lahiri,Anand Bakshi,Lata,,
1950s,aa.Nsuu ab tum kabhii na bahanaa -  View,Kaafilaa (1952),1952,Husnlal-Bhagatram,Brajendra Gaud,Lata,,
1950s,laharo.n se puuchh lo -  View,Kaafilaa (1952),1952,Husnlal-Bhagatram,Brajendra Gaud,Lata, Kishore,
